2025-11-07 16:21:20.734 [NettyClientPublicExecutor_10] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B226899240218, offsetMsgId=C0A8170100002A9F000000000090D91C, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=0], queueOffset=6534]
2025-11-07 16:21:20.734 [NettyClientPublicExecutor_7] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B226899240214, offsetMsgId=C0A8170100002A9F000000000090DA85, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=0], queueOffset=6535]
2025-11-07 16:21:20.734 [NettyClientPublicExecutor_3] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B226899240219, offsetMsgId=C0A8170100002A9F000000000090DBEE, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=0], queueOffset=6536]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_11] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B22689924021B, offsetMsgId=C0A8170100002A9F000000000090DEC0, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=1], queueOffset=6539]
2025-11-07 16:21:20.734 [NettyClientPublicExecutor_13] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B22689924021A, offsetMsgId=C0A8170100002A9F000000000090DD57, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=0], queueOffset=6537]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_3] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B22689924021C, offsetMsgId=C0A8170100002A9F000000000090E029, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=1], queueOffset=6540]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_3] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B2268992301FE, offsetMsgId=C0A8170100002A9F000000000090E464, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=0], queueOffset=6538]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_2] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B22689924021D, offsetMsgId=C0A8170100002A9F000000000090E192, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=1], queueOffset=6541]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_11] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B22689924021F, offsetMsgId=C0A8170100002A9F000000000090E2FB, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=2], queueOffset=6528]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_16] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B226899240223, offsetMsgId=C0A8170100002A9F000000000090E5CD, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=3], queueOffset=6540]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_12] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B226899240221, offsetMsgId=C0A8170100002A9F000000000090E89F, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=1], queueOffset=6542]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_1] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B226899240222, offsetMsgId=C0A8170100002A9F000000000090EA08, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=2], queueOffset=6529]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_6] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B226899240220, offsetMsgId=C0A8170100002A9F000000000090E736, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=0], queueOffset=6539]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_16] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B226899240224, offsetMsgId=C0A8170100002A9F000000000090EB71, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=0], queueOffset=6540]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_16] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B226899240226, offsetMsgId=C0A8170100002A9F000000000090ECDA, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=3], queueOffset=6541]
2025-11-07 16:21:20.735 [NettyClientPublicExecutor_16] INFO  c.quanxiaoha.xiaohashu.user.relation.biz.MQTests - ==> 【计数服务：粉丝数】MQ 发送成功，SendResult: SendResult [sendStatus=SEND_OK, msgId=7F00000118E463947C6B226899240225, offsetMsgId=C0A8170100002A9F000000000090EE43, messageQueue=MessageQueue [topic=CountFansTopic, brokerName=LAPTOP-QR8TII6M, queueId=2], queueOffset=6530]
